Class,Opal_520,Opal_570,Opal_620,Opal_690,Distance
*: Opal 520: Opal 690,0.2168,0.0001,0.0021,0.0383,1996.0682
*: Opal 520: Opal 690,0.3458,0.0006,0.0023,0.0442,2112.9146
*: Opal 520: Opal 690,0.4355,0.0023,0.0284,0.0495,2107.0532
Opal 620: Opal 520: *,0.1927,0,0.0247,0.0041,1689.0427
Opal 620: Opal 520: Opal 690: *,1.2062,0.0014,0.2266,0.0342,2107.2986
Opal 620: Opal 520: *,0.1895,0.0001,0.0343,0.0064,1856.0686
Opal 620: Opal 520: *,0.4451,0.0004,0.0429,0.0076,2198.8269
Opal 620: Opal 520: *,1.1501,0.0001,0.0862,0.0057,2131.9128
Opal 620: Opal 520: *,2.2011,0,0.2694,0.0063,1811.0939
Opal 620: Opal 520: *,0.3899,0,0.0601,0.0083,2161.2378
*: Opal 520: Opal 690: Opal 570,0.2592,0.0136,0.0018,0.0345,2161.3635
Opal 620: Opal 520: *,0.215,0,0.0542,0.0101,3215.4622
*: Opal 520: Opal 690,0.3889,0.001,0.0094,0.0616,3265.9333
*: Opal 520: Opal 690,0.1653,0.0002,0.003,0.0353,3228.2205
*: Opal 520,0.3104,0.0023,0.0016,0.0223,3132.1155
*: Opal 520: Opal 690,0.3137,0.0044,0.0041,0.1154,3179.2964
*: Opal 520: Opal 690,0.186,0.0001,0.0031,0.0453,3169.73
*: Opal 520: Opal 690,0.2452,0.0003,0.0047,0.0594,3154.6318
*: Opal 520: Opal 690,0.1626,0.0047,0.0044,0.0314,3173.356
*: Opal 520: Opal 690,0.5075,0.0009,0.0054,0.1255,3160.9539
*: Opal 520: Opal 690,0.3772,0.0003,0.0052,0.0718,3110.3679
*: Opal 520: Opal 690,0.1556,0,0.0035,0.0294,3116.1284
*: Opal 520,0.2395,0.0004,0.0029,0.0215,3110.5242
*: Opal 520: Opal 690,0.3672,0.0039,0.0011,0.0256,3113.7698
Opal 620: Opal 520: Opal 690: *,0.5754,0.006,0.0307,0.0966,3140.2832
*: Opal 520,0.2916,0.0002,0.0105,0.0094,3125.8552
*: Opal 520: Opal 690,0.298,0,0.0072,0.0459,3143.1797
*: Opal 520: Opal 690,0.3078,0.0002,0.0024,0.0433,3090.4629
*: Opal 520: Opal 690,0.5529,0.0034,0.0019,0.1309,3097.293
*: Opal 520: Opal 690,0.2806,0.0014,0.0021,0.0629,3106.9465
Opal 620: Opal 520: *,0.1622,0.0003,0.115,0.0178,3016.7476
Opal 620: Opal 520: *,1.7214,0,0.1434,0.0058,3074.5046
Opal 620: Opal 520: *,0.1578,0.0007,0.2757,0.0136,3023.0071
Opal 620: Opal 520: *,1.6107,0.0007,0.0762,0.0079,3032.666
*: Opal 520: Opal 690,0.1538,0.0032,0.0049,0.0288,2992.8049
*: Opal 520: Opal 690: Opal 570,0.4163,0.0101,0.0059,0.0743,2985.0425
Opal 620: Opal 520: Opal 690: *,0.6315,0.0043,0.0867,0.0545,2990.5562
*: Opal 520: Opal 690,0.3788,0.0012,0.0021,0.0331,3008.3667
*: Opal 520: Opal 690: Opal 570,0.5034,0.0146,0.0098,0.1316,2977.7981
*: Opal 520: Opal 570,0.2394,0.0147,0.0019,0.0178,3003.2085
*: Opal 520: Opal 690,0.1903,0.0018,0.0038,0.0971,2965.2292
*: Opal 520,0.5566,0.0001,0.0226,0.0085,2920.1899
